st_id,st_name,lng,lat
C0V370,古亭坑,120.401947,22.893178
C0R270,琉球嶼,120.362236,22.332244
C0V440,鳳山,120.356122,22.646653
C0R170,屏東,120.494072,22.660269
C0R160,新圍,120.530778,22.739558
C0V450,鳳森,120.392592,22.545064
C1R200,龍泉,120.602017,22.667097
C0R190,赤山,120.614306,22.592333
C0R150,三地門,120.639944,22.709889
C0R220,潮州,120.54,22.534361
C0R430,東港,120.441692,22.464914
C0V490,新興,120.298803,22.627422
C0V500,旗津,120.285944,22.5886
C0V640,湖內,120.2445,22.887139
C0V620,永安,120.236856,22.82315
C0V770,大社,120.346639,22.730306
C0V610,梓官,120.267211,22.760558
C0V750,路竹,120.259439,22.854997
C0V630,茄萣,120.182608,22.906642
C0V660,岡山,120.297686,22.755153
C0V650,彌陀,120.246361,22.783806
C0V760,橋頭,120.30575,22.757806
C0V670,楠梓,120.286,22.71975
C0V680,仁武,120.347722,22.701083
C0V700,三民,120.311233,22.645017
C0V690,鼓山,120.275575,22.623325
C0V710,苓雅,120.330669,22.622742
C1V570,吉東,120.557186,22.841178
C0V740,旗山,120.494281,22.877672
C0R480,長治,120.542622,22.693128
C0R570,麟洛,120.551758,22.657333
C0R510,萬丹,120.490394,22.587775
C0R550,新埤,120.582894,22.467947
C0R580,南州,120.516456,22.492611
C0R540,佳冬,120.552375,22.419456
C0R470,高樹,120.600806,22.826389
C0R490,九如,120.490503,22.7405
C0R500,竹田,120.544008,22.584917
C0V730,大寮,120.431958,22.610011
C0R560,新園,120.461558,22.5434
C0R520,崁頂,120.506914,22.514781
C0V720,林園,120.394511,22.507747
