"","Hour","variable","value"
"298",10,"2016-10-13","29.5"
"299",11,"2016-10-13","29.4"
"300",12,"2016-10-13","30.8"
"301",13,"2016-10-13","31.7"
"302",14,"2016-10-13","32.2"
"303",15,"2016-10-13","31.2"
"304",16,"2016-10-13","29.0"
"305",17,"2016-10-13","27.8"
"306",18,"2016-10-13","26.6"
"307",19,"2016-10-13","26.3"
"308",20,"2016-10-13","25.4"
"309",21,"2016-10-13","24.9"
"310",22,"2016-10-13","24.5"
"311",23,"2016-10-13","23.9"
"312",24,"2016-10-13","23.4"
"313",1,"2016-10-14","23.0"
"314",2,"2016-10-14","22.9"
"315",3,"2016-10-14","22.9"
"316",4,"2016-10-14","22.4"
"317",5,"2016-10-14","22.5"
"318",6,"2016-10-14","22.3"
"319",7,"2016-10-14","23.1"
"320",8,"2016-10-14","25.6"
"321",9,"2016-10-14","27.8"
"322",10,"2016-10-14","28.1"
"323",11,"2016-10-14","29.9"
"324",12,"2016-10-14","30.1"
"325",13,"2016-10-14","31.1"
"326",14,"2016-10-14","31.6"
"327",15,"2016-10-14","31.5"
"328",16,"2016-10-14","30.9"
"329",17,"2016-10-14","28.8"
"330",18,"2016-10-14","27.1"
"331",19,"2016-10-14","26.4"
"332",20,"2016-10-14","25.7"
"333",21,"2016-10-14","24.9"
"334",22,"2016-10-14","24.5"
"335",23,"2016-10-14","24.1"
"336",24,"2016-10-14","24.0"
"337",1,"2016-10-15","23.8"
"338",2,"2016-10-15","23.9"
"339",3,"2016-10-15","23.8"
"340",4,"2016-10-15","23.6"
"341",5,"2016-10-15","23.3"
"342",6,"2016-10-15","23.4"
"343",7,"2016-10-15","23.8"
"344",8,"2016-10-15","26.2"
"345",9,"2016-10-15","28.0"
"346",10,"2016-10-15","30.8"
"347",11,"2016-10-15","31.2"
"348",12,"2016-10-15","31.8"
"349",13,"2016-10-15","32.4"
"350",14,"2016-10-15","33.0"
"351",15,"2016-10-15","32.3"
"352",16,"2016-10-15","31.3"
"353",17,"2016-10-15","28.8"
"354",18,"2016-10-15","27.0"
"355",19,"2016-10-15","26.1"
"356",20,"2016-10-15","25.3"
"357",21,"2016-10-15","24.8"
"358",22,"2016-10-15","24.4"
"359",23,"2016-10-15","24.2"
"360",24,"2016-10-15","24.2"
"361",1,"2016-10-16","23.8"
"362",2,"2016-10-16","23.9"
"363",3,"2016-10-16","23.8"
"364",4,"2016-10-16","23.7"
"365",5,"2016-10-16","23.9"
"366",6,"2016-10-16","23.9"
"367",7,"2016-10-16","24.1"
"368",8,"2016-10-16","26.7"
"369",9,"2016-10-16","29.8"
"370",10,"2016-10-16","31.0"
"371",11,"2016-10-16","31.9"
"372",12,"2016-10-16","33.1"
"373",13,"2016-10-16","32.3"
"374",14,"2016-10-16","32.7"
"375",15,"2016-10-16","31.7"
"376",16,"2016-10-16","31.2"
"377",17,"2016-10-16","29.6"
"378",18,"2016-10-16","27.7"
"379",19,"2016-10-16","26.5"
"380",20,"2016-10-16","25.4"
"381",21,"2016-10-16","25.3"
"382",22,"2016-10-16","24.6"
"383",23,"2016-10-16","24.0"
"384",24,"2016-10-16","24.3"
"385",1,"2016-10-17","24.3"
"386",2,"2016-10-17","23.9"
"387",3,"2016-10-17","23.8"
"388",4,"2016-10-17","23.8"
"389",5,"2016-10-17","24.0"
"390",6,"2016-10-17","23.9"
"391",7,"2016-10-17","24.1"
"392",8,"2016-10-17","25.0"
"393",9,"2016-10-17","25.9"
"394",10,"2016-10-17","29.5"
"395",11,"2016-10-17","30.7"
"396",12,"2016-10-17","32.1"
"397",13,"2016-10-17","33.4"
"398",14,"2016-10-17","31.1"
"399",15,"2016-10-17","31.9"
"400",16,"2016-10-17","31.4"
"401",17,"2016-10-17","29.0"
"402",18,"2016-10-17","27.6"
"403",19,"2016-10-17","27.0"
"404",20,"2016-10-17","26.6"
"405",21,"2016-10-17","26.8"
"406",22,"2016-10-17","26.2"
"407",23,"2016-10-17","26.1"
"408",24,"2016-10-17","26.1"
"409",1,"2016-10-18","25.7"
"410",2,"2016-10-18","25.4"
"411",3,"2016-10-18","25.3"
"412",4,"2016-10-18","24.8"
"413",5,"2016-10-18","24.7"
"414",6,"2016-10-18","24.6"
"415",7,"2016-10-18","26.6"
"416",8,"2016-10-18","29.1"
"417",9,"2016-10-18","30.0"
"418",10,"2016-10-18","31.5"
"419",11,"2016-10-18","31.6"
"420",12,"2016-10-18","30.5"
"421",13,"2016-10-18","29.6"
"422",14,"2016-10-18","30.3"
"423",15,"2016-10-18","29.9"
"424",16,"2016-10-18","29.4"
"425",17,"2016-10-18","28.1"
"426",18,"2016-10-18","27.1"
"427",19,"2016-10-18","26.2"
"428",20,"2016-10-18","25.7"
"429",21,"2016-10-18","25.5"
"430",22,"2016-10-18","25.1"
"431",23,"2016-10-18","25.0"
"432",24,"2016-10-18","24.9"
"433",1,"2016-10-19","24.5"
"434",2,"2016-10-19","24.2"
"435",3,"2016-10-19","24.6"
"436",4,"2016-10-19","23.6"
"437",5,"2016-10-19","23.8"
"438",6,"2016-10-19","23.6"
"439",7,"2016-10-19","25.2"
"440",8,"2016-10-19","29.4"
"441",9,"2016-10-19","29.5"
"442",10,"2016-10-19","31.8"
"443",11,"2016-10-19","32.6"
"444",12,"2016-10-19","32.4"
"445",13,"2016-10-19","30.6"
"446",14,"2016-10-19","32.4"
"447",15,"2016-10-19","31.3"
"448",16,"2016-10-19","30.5"
"449",17,"2016-10-19","28.7"
"450",18,"2016-10-19","27.7"
"451",19,"2016-10-19","27.1"
"452",20,"2016-10-19","26.4"
"453",21,"2016-10-19","25.7"
"454",22,"2016-10-19","25.5"
"455",23,"2016-10-19","24.9"
"456",24,"2016-10-19","25.1"
"457",1,"2016-10-20","24.8"
"458",2,"2016-10-20","24.8"
"459",3,"2016-10-20","24.5"
"460",4,"2016-10-20","24.5"
"461",5,"2016-10-20","24.6"
"462",6,"2016-10-20","24.5"
"463",7,"2016-10-20","24.8"
"464",8,"2016-10-20","26.4"
"465",9,"2016-10-20","28.0"
"466",10,"2016-10-20","27.8"
"467",11,"2016-10-20","29.7"
"468",12,"2016-10-20","29.4"
"469",13,"2016-10-20","29.5"
"470",14,"2016-10-20","29.0"
"471",15,"2016-10-20","29.6"
"472",16,"2016-10-20","29.5"
"473",17,"2016-10-20","28.4"
"474",18,"2016-10-20","X"
"475",19,"2016-10-20","27.6"
"476",20,"2016-10-20","26.1"
"477",21,"2016-10-20","25.8"
"478",22,"2016-10-20","25.3"
"479",23,"2016-10-20","25.2"
"480",24,"2016-10-20","25.7"
"481",1,"2016-10-21","25.3"
"482",2,"2016-10-21","25.1"
"483",3,"2016-10-21","24.7"
"484",4,"2016-10-21","24.8"
"485",5,"2016-10-21","24.8"
"486",6,"2016-10-21","24.8"
"487",7,"2016-10-21","25.6"
"488",8,"2016-10-21","26.6"
"489",9,"2016-10-21","28.0"
"490",10,"2016-10-21","29.6"
"491",11,"2016-10-21","31.9"
"492",12,"2016-10-21","32.9"
"493",13,"2016-10-21","33.1"
"494",14,"2016-10-21","31.9"
"495",15,"2016-10-21","30.6"
"496",16,"2016-10-21","29.6"
"497",17,"2016-10-21","27.4"
"498",18,"2016-10-21","26.9"
"499",19,"2016-10-21","27.0"
"500",20,"2016-10-21","27.8"
"501",21,"2016-10-21","27.8"
"502",22,"2016-10-21","27.6"
"503",23,"2016-10-21","27.5"
"504",24,"2016-10-21","26.9"
"505",1,"2016-10-22","26.6"
"506",2,"2016-10-22","25.9"
"507",3,"2016-10-22","26.0"
"508",4,"2016-10-22","26.1"
"509",5,"2016-10-22","26.4"
"510",6,"2016-10-22","26.4"
"511",7,"2016-10-22","27.0"
"512",8,"2016-10-22","29.3"
"513",9,"2016-10-22","31.8"
"514",10,"2016-10-22","31.6"
"515",11,"2016-10-22","32.5"
"516",12,"2016-10-22","32.6"
"517",13,"2016-10-22","31.9"
"518",14,"2016-10-22","31.8"
